x,y
0,0
20,0
40,0
60,0
80,0
100,0
120,0
140,0
160,0
180,0
220,0
240,0
260,0
280,0
300,0
320,0
340,0
360,0
380,0
400,0
0,20
400,20
0,40
400,40
0,60
400,60
0,80
400,80
0,100
400,100
0,120
400,120
0,140
400,140
0,160
400,160
0,200
400,200
0,220
400,220
0,240
400,240
0,260
400,260
0,280
400,280
0,300
400,300
0,320
400,320
0,340
400,340
0,360
400,360
0,380
400,380
0,400
20,400
40,400
60,400
80,400
100,400
120,400
140,400
160,400
180,400
220,400
240,400
260,400
280,400
300,400
320,400
340,400
360,400
380,400
400,400
